"House","Asking Price","Selling Price","broker"
"1","290000","275000","valmax"
"2","315000","314000","valmax"
"3","299000","310000","valmax"
"4","615000","610000","valmax"
"5","345000","345000","valmax"
"6","230000","221000","valmax"
"7","420000","418000","valmax"
"8","399000","382000","valmax"
"9","549000","555000","valmax"
"10","299000","292000","valmax"
"11","430000","431000","valmax"
"12","330000","303000","valmax"
"13","395000","381000","valmax"
"14","675000","661000","valmax"
"15","460000","443000","valmax"
"16","437000","449000","valmax"
"17","680000","668000","valmax"
"18","380000","385000","valmax"
"19","325000","310000","valmax"
"20","435000","435000","valmax"
"21","304000","300000","valmax"
"22","552000","560000","valmax"
"23","403000","389000","valmax"
"24","419000","425000","valmax"
"25","227000","217000","valmax"
"26","340000","342000","valmax"
"27","619000","615000","valmax"
"28","312000","308000","valmax"
"29","320000","319000","valmax"
"30","299000","270000","valmax"
"31","289000","280000","valmax"
"32","316000","319000","valmax"
"33","328000","320000","valmax"
"34","610000","615000","valmax"
"35","350000","353000","valmax"
"1","295000","280000","others"
"2","425000","411000","others"
"3","299000","285000","others"
"4","299000","299000","others"
"5","475000","471000","others"
"6","350000","348000","others"
"7","429000","418000","others"
"8","399000","401000","others"
"9","489000","476000","others"
"10","299000","270000","others"
"11","539000","531000","others"
"12","225000","214000","others"
"13","749000","735000","others"
"14","689000","664000","others"
"15","469000","476000","others"
"16","299000","270000","others"
"17","539000","531000","others"
"18","199000","205000","others"
"19","349000","335000","others"
"20","689000","687000","others"
"21","485000","479000","others"
"22","299000","285000","others"
"23","305000","275000","others"
"24","479000","469000","others"
"25","699000","677000","others"
"26","339000","325000","others"
"27","195000","209000","others"
"28","539000","535000","others"
"29","279000","268000","others"
"30","459000","469000","others"
"31","679000","659000","others"
"32","729000","725000","others"
"33","215000","214000","others"
"34","539000","525000","others"
"35","289000","270000","others"
"36","479000","469000","others"
"37","389000","390000","others"
"38","419000","410000","others"
"39","339000","339000","others"
"40","469000","462000","others"
"41","299000","280000","others"
"42","289000","280000","others"
"43","419000","403000","others"
"44","289000","275000","others"
